brand,category,department,units_sold_90d,sales_dollars_90d,inventory_units,inventory_cost,unit_cover_ratio,action_flag
7 For All Mankind,Jeans,Men,85,13497.650032043457,965,79228.0696474642,11.35,Hold
Tommy Hilfiger,Suits & Sport Coats,Men,51,9882.0298728942871,454,34498.308208325267,8.9,Hold
Diesel,Jeans,Men,52,9705.11996459961,818,83905.318935017611,15.73,Hold
Carhartt,Outerwear & Coats,Men,70,8781.7199096679688,1031,58700.131733176131,14.73,Hold
True Religion,Jeans,Men,34,8139.2899932861328,505,69912.038454811831,14.85,Hold
Joe's Jeans,Jeans,Men,53,8088.8899765014648,684,57398.107278987329,12.91,Hold
Diesel,Outerwear & Coats,Men,14,6547.4199829101562,97,22241.634445517724,6.93,Margin Watch
7 For All Mankind,Jeans,Women,41,6452.8500061035156,521,45412.95823402136,12.71,Hold
Ray-Ban,Accessories,Men,54,6386.6600189208984,704,33248.765840263215,13.04,Hold
Oakley,Accessories,Men,44,6175.3199844360352,546,29906.778624330382,12.41,Hold
Mountain Hardwear,Outerwear & Coats,Men,23,6114.8999938964844,231,23600.244780606423,10.04,Hold
The North Face,Outerwear & Coats,Men,11,6114.8099822998047,139,41380.464696292009,12.64,Margin Watch
Columbia,Outerwear & Coats,Men,58,5827.5799179077148,640,29235.951122380244,11.03,Hold
Not Your Daughter's Jeans,Jeans,Women,57,5767.1100006103516,759,42168.8280589719,13.32,Hold
True Religion,Jeans,Women,25,5745.9800109863281,309,37314.3181319227,12.36,Hold
Arc'teryx,Outerwear & Coats,Men,12,5175.9500122070312,204,28854.807454605056,17,Margin Watch
Wrangler,Jeans,Men,113,5143.5900573730469,1412,34718.2116576071,12.5,Hold
Canada Goose,Outerwear & Coats,Men,8,5109.8500366210938,84,22001.644541529728,10.5,Markdown Risk
Dockers,Pants,Men,97,4830.3101081848145,1159,27463.139303485619,11.95,Hold
BCBGMAXAZRIA,Dresses,Women,18,4810.9900016784668,244,26933.346339530493,13.56,Margin Watch
Joseph Abboud,Suits & Sport Coats,Men,21,4756.9200286865234,343,30795.62285926476,16.33,Hold
PAIGE,Jeans,Women,27,4585.93000793457,285,25600.734875245405,10.56,Hold
Ray-Ban,Accessories,Women,37,4551.5000228881836,463,21422.76464403206,12.51,Hold
Paul Fredrick,Suits & Sport Coats,Men,19,4455.5,270,27268.435899035423,14.21,Margin Watch
Diesel,Suits & Sport Coats,Men,8,4286,100,13483.963932415936,12.5,Markdown Risk
Speedo,Swim,Women,70,4270.999942779541,1021,25778.054350710263,14.59,Hold
Levi's,Jeans,Women,91,4005.4201107025146,1190,28176.483543117196,13.08,Hold
Calvin Klein,Suits & Sport Coats,Men,24,3986.619987487793,316,19734.102022542214,13.17,Hold
Woolrich,Outerwear & Coats,Men,16,3937.6699905395508,198,18631.505604274804,12.38,Margin Watch
Majestic International,Sleep & Lounge,Men,58,3869.0099678039551,714,19000.436490598291,12.31,Hold
Barbour,Outerwear & Coats,Men,11,3867,147,20879.022997378182,13.36,Margin Watch
Quiksilver,Swim,Men,72,3768.6299953460693,1109,35792.00095464816,15.4,Hold
AG Adriano Goldschmied,Jeans,Men,22,3711.2100067138672,251,22943.056634760473,11.41,Hold
Kasper,Suits,Women,24,3689.3299789428711,286,26000.030969782492,11.92,Hold
Speedo,Swim,Men,82,3648.7400207519531,948,24376.555401978436,11.56,Hold
Nike,Intimates,Women,5,3644.9799995422363,17,6227.9460966720089,3.4,Markdown Risk
Motherhood Maternity,Maternity,Women,120,3611.6399660110474,1725,23260.193297963549,14.38,Hold
Mountain Hardwear,Outerwear & Coats,Women,16,3609.8999938964844,158,15309.3554119058,9.88,Margin Watch
Alpha Industries,Outerwear & Coats,Men,26,3481.9299926757812,220,16688.187177273605,8.46,Hold
Lucky Brand,Jeans,Men,42,3474.200023651123,558,25181.985605500911,13.29,Hold
Seafolly,Swim,Women,31,3180.7000122070312,327,13486.161099415049,10.55,Hold
Evan Picone,Suits,Women,25,3141.8099975585938,319,24541.847378352188,12.76,Hold
Calvin Klein,Sweaters,Men,44,3074.4899826049805,492,16462.922693057277,11.18,Hold
Arc'teryx,Outerwear & Coats,Women,7,2993,110,18694.952962775715,15.71,Markdown Risk
Barbour,Outerwear & Coats,Women,8,2992,56,8511.57198292762,7,Markdown Risk
Calvin Klein,Outerwear & Coats,Men,22,2962.150032043457,320,20422.192167843539,14.55,Hold
Orvis,Suits & Sport Coats,Men,13,2882,190,12595.480978179723,14.62,Margin Watch
Ben Sherman,Suits & Sport Coats,Men,8,2880,72,10386.897131912358,9,Markdown Risk
Robert Graham,Tops & Tees,Men,15,2873.9600067138672,137,14126.027362503577,9.13,Margin Watch
adidas,Active,Women,34,2794.50000667572,368,9754.8341226298926,10.82,Hold
Bali,Intimates,Women,73,2793.6300239562988,745,14512.714999145475,10.21,Hold
Ralph Lauren,Suits & Sport Coats,Men,18,2754.8599548339844,295,14967.492481986981,16.39,Margin Watch
DKNY,Suits & Sport Coats,Men,15,2729.8899917602539,147,8780.0031463642135,9.8,Margin Watch
Orvis,Pants,Men,23,2728,332,19039.219041352626,14.43,Hold
Jordan,Outerwear & Coats,Men,3,2709,16,6544.9440232515326,5.33,Markdown Risk
O'Neill,Swim,Men,53,2702.8200073242188,747,23607.341339261922,14.09,Hold
Orvis,Sweaters,Men,16,2685,251,22069.279996588128,15.69,Margin Watch
Marc New York by Andrew Marc,Outerwear & Coats,Men,14,2683.5399932861328,170,16386.700785803761,12.14,Margin Watch
Joe's Jeans,Jeans,Women,17,2655.4700012207031,269,22071.126533771527,15.82,Margin Watch
Miraclesuit,Swim,Women,17,2627.4100036621094,269,16632.003280425084,15.82,Margin Watch
Parker,Dresses,Women,7,2621.989990234375,64,10909.710968173462,9.14,Markdown Risk
Quiksilver,Shorts,Men,51,2612.1800079345703,638,22856.481312312477,12.51,Hold
Sutton Studio,Blazers & Jackets,Women,29,2590.5400009155273,349,11217.173352632431,12.03,Hold
