brand,category,department,units_sold,revenue,cost,gross_margin_dollars,gross_margin_rate
Carhartt,Outerwear & Coats,Men,478,61673.76,27208.14,34465.62,0.5588
Diesel,Jeans,Men,347,68594.41,36285.88,32308.53,0.471
7 For All Mankind,Jeans,Men,428,65912.51,34800.34,31112.17,0.472
True Religion,Jeans,Men,237,58711.17,31221.75,27489.42,0.4682
The North Face,Outerwear & Coats,Men,62,40546.81,17114.98,23431.83,0.5779
Joe's Jeans,Jeans,Men,304,48912.83,26519.86,22392.97,0.4578
Joseph Abboud,Suits & Sport Coats,Men,168,35709.52,14527.68,21181.84,0.5932
7 For All Mankind,Jeans,Women,259,42223.81,22501.73,19722.08,0.4671
Tommy Hilfiger,Suits & Sport Coats,Men,180,32809.5,13106.76,19702.74,0.6005
Oakley,Accessories,Men,234,32978.75,13312.78,19665.97,0.5963
Ray-Ban,Accessories,Men,268,32563.71,12942.45,19621.26,0.6025
Paul Fredrick,Suits & Sport Coats,Men,128,30861.0,12283.13,18577.87,0.602
Arc'teryx,Outerwear & Coats,Men,96,33033.65,14496.72,18536.93,0.5612
True Religion,Jeans,Women,156,34956.96,18856.23,16100.73,0.4606
Columbia,Outerwear & Coats,Men,289,28001.66,12293.21,15708.45,0.561
Not Your Daughter's Jeans,Jeans,Women,327,33949.18,18385.55,15563.63,0.4584
Dockers,Pants,Men,497,25569.12,11684.45,13884.67,0.543
Speedo,Swim,Women,399,23621.76,9898.93,13722.83,0.5809
Majestic International,Sleep & Lounge,Men,329,22456.84,9155.16,13301.68,0.5923
Wrangler,Jeans,Men,610,28090.28,15047.7,13042.58,0.4643
Calvin Klein,Suits & Sport Coats,Men,132,21509.42,8595.05,12914.37,0.6004
Ray-Ban,Accessories,Women,187,21147.19,8389.85,12757.34,0.6033
Motherhood Maternity,Maternity,Women,731,22654.66,9960.09,12694.57,0.5604
Mountain Hardwear,Outerwear & Coats,Men,108,23079.56,10416.09,12663.47,0.5487
Diesel,Outerwear & Coats,Men,40,21215.8,9428.42,11787.38,0.5556
Arc'teryx,Outerwear & Coats,Women,59,22079.0,10355.42,11723.58,0.531
Alpha Industries,Outerwear & Coats,Men,96,20587.3,8897.62,11689.68,0.5678
Quiksilver,Swim,Men,525,28819.15,17265.93,11553.22,0.4009
Marc New York by Andrew Marc,Outerwear & Coats,Men,83,20539.34,9265.1,11274.24,0.5489
Orvis,Pants,Men,160,20701.0,9432.88,11268.12,0.5443
BCBGMAXAZRIA,Dresses,Women,82,20397.1,9136.12,11260.98,0.5521
Hanro,Sleep & Lounge,Men,129,17990.21,6973.9,11016.31,0.6124
Ralph Lauren,Suits & Sport Coats,Men,137,18024.59,7067.62,10956.97,0.6079
PAIGE,Jeans,Women,142,23474.57,12798.24,10676.33,0.4548
Woolrich,Outerwear & Coats,Men,92,19611.77,8998.39,10613.38,0.5412
Lucky Brand,Jeans,Men,260,22387.04,11779.01,10608.03,0.4738
Calvin Klein,Outerwear & Coats,Men,138,18796.54,8366.58,10429.96,0.5549
Canada Goose,Outerwear & Coats,Men,33,18974.8,8639.4,10335.4,0.5447
HUGO BOSS,Sleep & Lounge,Men,268,17124.46,6846.81,10277.65,0.6002
The North Face,Outerwear & Coats,Women,60,18529.14,8388.48,10140.66,0.5473
adidas,Active,Women,182,16876.44,7024.84,9851.6,0.5837
Miraclesuit,Swim,Women,119,17059.91,7210.98,9848.93,0.5773
Levi's,Outerwear & Coats,Men,159,17566.18,7819.16,9747.02,0.5549
Levi's,Jeans,Women,477,20994.99,11428.28,9566.71,0.4557
Kenneth Cole,Outerwear & Coats,Men,151,17297.64,7813.62,9484.02,0.5483
Canada Goose,Outerwear & Coats,Women,25,17250.0,7912.05,9337.95,0.5413
Haggar,Suits & Sport Coats,Men,176,15390.16,6210.79,9179.37,0.5964
Barbour,Outerwear & Coats,Men,53,16475.95,7318.26,9157.69,0.5558
Sutton Studio,Blazers & Jackets,Women,155,14277.95,5496.06,8781.89,0.6151
Anne Klein,Blazers & Jackets,Women,106,13961.71,5215.95,8745.76,0.6264
AG Adriano Goldschmied,Jeans,Men,103,18075.81,9433.88,8641.93,0.4781
Joe's Jeans,Jeans,Women,123,19244.12,10615.41,8628.71,0.4484
Quiksilver,Shorts,Men,284,17159.34,8674.95,8484.39,0.4944
Regency New York,Sleep & Lounge,Men,39,13998.05,5570.63,8427.42,0.602
DKNY,Suits & Sport Coats,Men,85,13364.2,5045.43,8318.77,0.6225
G-Star,Jeans,Men,98,17523.87,9315.34,8208.53,0.4684
Seafolly,Swim,Women,140,13827.1,5712.82,8114.28,0.5868
Orvis,Sweaters,Men,98,16601.0,8579.0,8022.0,0.4832
Ben Sherman,Suits & Sport Coats,Men,38,13375.94,5501.72,7874.22,0.5887
Hudson,Jeans,Women,97,17130.17,9283.67,7846.5,0.4581
Haggar,Pants,Men,348,14138.49,6508.98,7629.51,0.5396
Mountain Hardwear,Outerwear & Coats,Women,70,13369.45,5900.05,7469.4,0.5587
Calvin Klein,Underwear,Men,468,13790.97,6495.91,7295.06,0.529
Jones New York,Dresses,Women,115,13254.65,5972.93,7281.72,0.5494
Orvis,Suits & Sport Coats,Men,67,11991.0,4803.38,7187.62,0.5994
Derek Rose,Sleep & Lounge,Men,56,11745.0,4574.68,7170.32,0.6105
Ray-Ban,Plus,Women,132,14359.64,7243.37,7116.27,0.4956
Jones New York,Blazers & Jackets,Women,96,11550.48,4436.45,7114.03,0.6159
Speedo,Swim,Men,425,17653.95,10592.36,7061.59,0.4
Champion,Active,Men,275,12118.85,5075.41,7043.44,0.5812
MICHAEL Michael Kors,Outerwear & Coats,Women,74,12935.71,5924.73,7010.98,0.542
O'Neill,Swim,Men,322,17307.44,10343.65,6963.79,0.4024
Parker,Dresses,Women,35,12837.9,5898.31,6939.59,0.5406
Hanes,Underwear,Men,483,12928.29,6001.64,6926.65,0.5358
Oakley,Accessories,Women,87,11408.91,4611.3,6797.61,0.5958
Nautica,Sleep & Lounge,Men,370,11071.43,4418.96,6652.47,0.6009
Pendleton,Sweaters,Men,116,13196.83,6560.51,6636.32,0.5029
Evan Picone,Suits,Women,140,16878.17,10293.03,6585.14,0.3902
Calvin Klein,Sweaters,Men,199,12933.11,6457.18,6475.93,0.5007
Volcom,Outerwear & Coats,Men,75,11556.45,5184.46,6371.99,0.5514
Fred Perry,Sweaters,Men,107,13192.1,6832.59,6359.51,0.4821
American Essentials,Sleep & Lounge,Men,152,10448.59,4117.77,6330.82,0.6059
King Formal Wear,Suits & Sport Coats,Men,216,10627.84,4316.69,6311.15,0.5938
Tasso Elba,Suits & Sport Coats,Men,91,10357.36,4061.48,6295.88,0.6079
Kasper,Suits,Women,104,15842.59,9556.1,6286.49,0.3968
Carhartt,Outerwear & Coats,Women,100,11252.82,4978.01,6274.81,0.5576
Columbia,Outerwear & Coats,Women,122,11148.19,5050.42,6097.77,0.547
Allegra K,Blazers & Jackets,Women,658,9815.0,3736.34,6078.66,0.6193
Rock Revival,Jeans,Men,95,13017.44,6991.04,6026.4,0.4629
London Fog,Outerwear & Coats,Men,100,10830.83,4833.74,5997.09,0.5537
Hudson,Jeans,Men,75,12674.94,6693.93,5981.01,0.4719
Volcom,Jeans,Men,175,12685.05,6738.32,5946.73,0.4688
Tahari,Suits,Women,103,14955.17,9028.18,5926.99,0.3963
Calvin Klein,Dresses,Women,98,10734.83,4871.94,5862.89,0.5462
Tommy Hilfiger,Sweaters,Men,172,11636.54,5858.11,5778.43,0.4966
Melissa Odabash,Swim,Women,65,9862.71,4123.66,5739.05,0.5819
Lucky Brand,Jeans,Women,152,12480.97,6773.92,5707.05,0.4573
Paul Fredrick,Sweaters,Men,130,11390.0,5713.37,5676.63,0.4984
Calvin Klein,Outerwear & Coats,Women,91,10498.2,4823.29,5674.91,0.5406
Roxy,Fashion Hoodies & Sweatshirts,Women,210,10603.86,4967.03,5636.83,0.5316
Hurley,Shorts,Men,231,11285.65,5649.11,5636.54,0.4994
adidas,Active,Men,320,9692.98,4075.02,5617.96,0.5796
Hurley,Swim,Men,241,14200.51,8628.79,5571.72,0.3924
Carhartt,Tops & Tees,Men,264,12559.85,7025.22,5534.63,0.4407
maxandcleo,Dresses,Women,87,10322.84,4788.22,5534.62,0.5362
BCBGMAXAZRIA,Blazers & Jackets,Women,45,9125.92,3668.46,5457.46,0.598
US Fairytailes,Dresses,Women,79,9938.21,4496.6,5441.61,0.5475
Tommy Bahama,Sleep & Lounge,Men,162,8855.73,3424.35,5431.38,0.6133
Calvin Klein,Pants,Men,171,10013.79,4620.51,5393.28,0.5386
Robert Graham,Tops & Tees,Men,68,12075.77,6695.7,5380.07,0.4455
Magaschoni,Sweaters,Women,26,9878.0,4513.72,5364.28,0.5431
The North Face,Active,Men,21,9239.71,3909.85,5329.86,0.5768
Michael Kors,Suits & Sport Coats,Men,57,8802.48,3503.18,5299.3,0.602
Gottex,Swim,Women,55,9177.5,3887.13,5290.37,0.5764
Dickies,Outerwear & Coats,Men,131,9326.44,4065.9,5260.54,0.564
Via Spiga,Outerwear & Coats,Women,65,9293.92,4061.87,5232.05,0.563
Diesel,Sweaters,Men,50,9854.54,4643.67,5210.87,0.5288
KAMALIKULTURE,Dresses,Women,104,9413.36,4238.83,5174.53,0.5497
Jones New York,Pants & Capris,Women,169,10925.17,5777.36,5147.81,0.4712
French Connection,Sweaters,Men,93,10347.01,5206.61,5140.4,0.4968
Sofie,Sweaters,Women,80,9431.35,4334.42,5096.93,0.5404
Silver Jeans,Jeans,Men,125,10903.7,5825.0,5078.7,0.4658
SmartWool,Active,Men,126,8769.86,3695.59,5074.27,0.5786
Ripe Maternity,Maternity,Women,125,9182.22,4108.06,5074.16,0.5526
Fox,Fashion Hoodies & Sweatshirts,Men,170,11411.78,6365.66,5046.12,0.4422
Austin Reed,Suits & Sport Coats,Men,62,8229.91,3195.54,5034.37,0.6117
Le Suit,Suits,Women,98,12379.56,7393.22,4986.34,0.4028
Jet Lag,Shorts,Men,89,9769.5,4788.93,4980.57,0.5098
Jones New York,Sweaters,Women,84,9036.63,4099.89,4936.74,0.5463
Diesel,Suits & Sport Coats,Men,26,8495.0,3564.3,4930.7,0.5804
Canada Goose,Active,Women,14,7795.0,2937.42,4857.58,0.6232
Levi's,Jeans,Men,182,10333.5,5481.05,4852.45,0.4696
Nike,Plus,Women,10,9030.0,4207.98,4822.02,0.534
Buffalo by David Bitton,Jeans,Men,96,10314.0,5492.14,4821.86,0.4675
A Pea in the Pod,Maternity,Women,181,8608.0,3791.08,4816.92,0.5596
Kiyonna,Dresses,Women,63,8554.0,3749.86,4804.14,0.5616
Carhartt,Active,Men,157,8281.48,3481.02,4800.46,0.5797
Wacoal,Intimates,Women,220,10178.89,5396.79,4782.1,0.4698
Nike,Intimates,Women,17,11000.9,6227.95,4772.95,0.4339
True Religion,Shorts,Women,80,9607.37,4837.28,4770.09,0.4965
Mountain Hardwear,Active,Women,60,8284.6,3529.43,4755.17,0.574
Earnest Sewn,Jeans,Men,55,10275.0,5529.23,4745.77,0.4619
Tommy Hilfiger,Outerwear & Coats,Women,78,8492.39,3807.76,4684.63,0.5516
Columbia,Active,Men,149,8014.33,3359.02,4655.31,0.5809
Sutton Studio,Sweaters,Women,67,8486.1,3849.58,4636.52,0.5464
DC,Fashion Hoodies & Sweatshirts,Men,188,10335.19,5715.72,4619.47,0.447
Anne Klein,Dresses,Women,80,8343.48,3735.53,4607.95,0.5523
Jones New York,Suits & Sport Coats,Men,36,7651.68,3058.0,4593.68,0.6003
Scotch & Soda,Sweaters,Men,68,8960.75,4388.83,4571.92,0.5102
Spa & Resort,Sleep & Lounge,Men,139,7599.05,3039.24,4559.81,0.6001
Natori,Sleep & Lounge,Women,96,11349.1,6806.73,4542.37,0.4002
Champion,Active,Women,231,7827.01,3284.72,4542.29,0.5803
Kate Spade,Accessories,Women,53,7298.02,2775.76,4522.26,0.6197
Dickies,Shorts,Men,225,8977.8,4476.8,4501.0,0.5013
London Fog,Outerwear & Coats,Women,73,8325.87,3826.51,4499.36,0.5404
Carhartt,Jeans,Men,168,9530.4,5033.24,4497.16,0.4719
Fox,Fashion Hoodies & Sweatshirts,Women,142,8254.39,3811.75,4442.64,0.5382
Bali,Intimates,Women,297,9396.55,4984.7,4411.85,0.4695
Trina Turk,Blazers & Jackets,Women,25,6992.87,2618.66,4374.21,0.6255
Quiksilver,Fashion Hoodies & Sweatshirts,Men,162,9424.17,5056.96,4367.21,0.4634
SmartWool,Active,Women,136,7461.26,3098.34,4362.92,0.5847
French Connection,Dresses,Women,47,8066.78,3715.73,4351.05,0.5394
Jax,Dresses,Women,62,7971.37,3635.77,4335.6,0.5439
Hot from Hollywood,Dresses,Women,198,7941.02,3609.62,4331.4,0.5454
True Religion,Fashion Hoodies & Sweatshirts,Men,55,9465.4,5141.94,4323.46,0.4568
Robert Graham,Suits & Sport Coats,Men,11,6978.0,2689.39,4288.61,0.6146
Jordan,Active,Men,8,7224.0,2961.84,4262.16,0.59
AG Adriano Goldschmied,Jeans,Women,53,9122.84,4884.72,4238.12,0.4646
Alex Evenings,Blazers & Jackets,Women,59,6761.85,2546.99,4214.86,0.6233
Volcom,Fashion Hoodies & Sweatshirts,Women,140,7849.94,3639.57,4210.37,0.5364
United Face,Outerwear & Coats,Women,38,7772.0,3568.09,4203.91,0.5409
Diesel,Underwear,Men,268,7805.22,3603.85,4201.37,0.5383
Tommy Hilfiger,Outerwear & Coats,Men,47,7289.75,3104.8,4184.95,0.5741
Giorgio Fiorelli,Suits & Sport Coats,Men,37,6818.15,2637.39,4180.76,0.6132
AG Adriano Goldschmied,Pants,Men,54,7845.77,3737.74,4108.03,0.5236
Paul Fredrick,Pants,Men,72,7574.0,3471.42,4102.58,0.5417
Cosabella,Intimates,Women,145,8713.54,4610.98,4102.56,0.4708
McGinn,Blazers & Jackets,Women,28,6433.8,2337.7,4096.1,0.6367
Jockey,Underwear,Men,292,7860.5,3782.02,4078.48,0.5189
Ralph Lauren,Pants,Men,86,7371.75,3320.97,4050.78,0.5495
Abini,Suits & Sport Coats,Men,81,6755.95,2706.64,4049.31,0.5994
Allegra K,Pants,Men,447,7411.95,3369.03,4042.92,0.5455
Giorgio Cerruti,Suits & Sport Coats,Men,97,6675.15,2677.17,3997.98,0.5989
Fruit of the Loom,Underwear,Men,350,7588.57,3594.6,3993.97,0.5263
Columbia,Active,Women,90,6756.62,2763.53,3993.09,0.591
Laura,Intimates,Women,268,8397.2,4404.31,3992.89,0.4755
