category,department,brand,inventory_units,inventory_cost,inventory_retail_value,units_sold_90d,sell_through_proxy,weeks_of_supply_proxy
Maternity,Women,Motherhood Maternity,1700,22553.49,51271.58,129,0.0705,13.18
Blazers & Jackets,Women,Allegra K,1476,8250.13,21751.1,114,0.0717,12.95
Jeans,Men,Wrangler,1355,33463.74,62448.7,88,0.061,15.4
Dresses,Women,Allegra K,1272,6980.97,15253.3,74,0.055,17.19
Swim,Men,Quiksilver,1193,39521.84,66077.56,88,0.0687,13.56
Underwear,Men,Calvin Klein,1088,15012.28,31942.96,81,0.0693,13.43
Jeans,Women,Levi's,1087,25868.81,47517.83,69,0.0597,15.75
Pants,Men,Dockers,1087,25101.3,54925.07,81,0.0693,13.42
Underwear,Men,Hanes,1061,13057.98,28120.14,87,0.0758,12.2
Outerwear & Coats,Men,Carhartt,1058,59953.3,135600.72,64,0.057,16.53
Jeans,Men,7 For All Mankind,1023,83709.56,158213.8,61,0.0563,16.77
Pants,Men,Allegra K,992,7501.01,16478.76,72,0.0677,13.78
Swim,Men,Speedo,961,23697.01,39398.59,74,0.0715,12.99
Tops & Tees,Women,Allegra K,951,5716.13,10136.94,70,0.0686,13.59
Swim,Women,Speedo,947,23320.83,55647.15,64,0.0633,14.8
Sleep & Lounge,Men,Nautica,817,9763.1,24518.51,57,0.0652,14.33
Jeans,Men,Diesel,814,85005.62,160956.64,60,0.0686,13.57
Fashion Hoodies & Sweatshirts,Women,Allegra K,798,6709.7,14400.09,62,0.0721,12.87
Pants,Men,Haggar,777,14569.69,31672.61,52,0.0627,14.94
Underwear,Men,Fruit of the Loom,748,7733.81,16315.31,60,0.0743,12.47
Jeans,Women,Not Your Daughter's Jeans,734,40916.94,75417.61,55,0.0697,13.35
Swim,Men,O'Neill,728,23546.23,39372.88,49,0.0631,14.86
Jeans,Men,Joe's Jeans,723,62703.72,116186.96,50,0.0647,14.46
Active,Men,adidas,702,9049.14,21497.29,48,0.064,14.63
Sleep & Lounge,Men,Majestic International,684,19662.1,48232.16,56,0.0757,12.21
Intimates,Women,Bali,661,11383.99,21412.72,45,0.0637,14.69
Outerwear & Coats,Men,Columbia,657,28140.5,64153.27,46,0.0654,14.28
Shorts,Women,Allegra K,655,3428.18,6857.95,40,0.0576,16.38
Underwear,Men,Jockey,651,8297.08,17286.5,53,0.0753,12.28
Jumpsuits & Rompers,Women,Allegra K,650,4317.06,8161.32,52,0.0741,12.5
Active,Men,Champion,638,10640.85,25737.69,39,0.0576,16.36
Shorts,Men,Quiksilver,623,20467.8,40298.13,50,0.0743,12.46
Accessories,Men,Ray-Ban,613,29138.48,73426.17,30,0.0467,20.43
Intimates,Women,Maidenform,612,7512.35,14261.32,39,0.0599,15.69
Sleep & Lounge,Men,HUGO BOSS,609,15723.15,39060.34,40,0.0616,15.22
Intimates,Women,Laura,609,10062.25,19200.83,52,0.0787,11.71
Suits & Sport Coats,Men,Allegra K,605,4378.43,10771.06,53,0.0805,11.42
Jeans,Men,Lucky Brand,600,27494.26,52260.8,50,0.0769,12.0
Intimates,Women,Hanes,599,4188.11,7904.56,32,0.0507,18.72
Tops & Tees,Men,Carhartt,584,15639.34,27899.01,55,0.0861,10.62
Jeans,Women,7 For All Mankind,575,50750.8,95007.47,41,0.0666,14.02
Underwear,Men,Diesel,570,7792.89,16799.52,42,0.0686,13.57
Swim,Men,Gary Majdell Sport,563,7028.93,11723.43,44,0.0725,12.8
Jeans,Men,True Religion,550,71804.88,135628.1,33,0.0566,16.67
Swim,Men,Hurley,545,18858.25,30977.75,32,0.0555,17.03
Active,Women,Champion,541,7768.41,18480.43,35,0.0608,15.46
Accessories,Men,Oakley,537,30879.72,76265.16,32,0.0562,16.78
Shorts,Men,Hurley,535,12889.6,25733.62,43,0.0744,12.44
Sweaters,Men,The Little Alpaca's House,527,8780.92,17593.73,42,0.0738,12.55
Fashion Hoodies & Sweatshirts,Men,Allegra K,519,5602.88,10144.77,37,0.0665,14.03
Suits & Sport Coats,Men,King Formal Wear,515,10147.44,24974.85,27,0.0498,19.07
Underwear,Men,HUGO BOSS,507,7497.31,15860.37,39,0.0714,13.0
Intimates,Women,Wacoal,499,12144.43,22867.15,34,0.0638,14.68
Sweaters,Men,Calvin Klein,492,16071.8,32130.81,25,0.0484,19.68
Shorts,Men,Dickies,492,9814.63,19641.54,39,0.0734,12.62
