sales_month,department,category,units_sold,revenue,cost,gross_margin_dollars,gross_margin_rate
2019-01-01,Women,Dresses,1,119.0,55.1,63.9,0.537
2019-01-01,Men,Swim,1,75.0,48.6,26.4,0.352
2019-01-01,Women,Fashion Hoodies & Sweatshirts,1,62.0,28.46,33.54,0.541
2019-01-01,Men,Shorts,1,59.0,29.03,29.97,0.508
2019-01-01,Women,Swim,1,55.76,21.75,34.01,0.61
2019-01-01,Men,Sweaters,1,54.99,25.02,29.97,0.545
2019-01-01,Men,Tops & Tees,1,22.38,13.54,8.84,0.395
2019-01-01,Men,Active,1,20.99,8.88,12.11,0.577
2019-01-01,Women,Active,1,13.95,6.08,7.87,0.564
2019-01-01,Women,Intimates,1,11.0,5.29,5.71,0.519
2019-02-01,Women,Jeans,1,198.0,97.42,100.58,0.508
2019-02-01,Women,Suits,1,69.99,44.86,25.13,0.359
2019-02-01,Men,Sweaters,1,64.95,32.09,32.86,0.506
2019-02-01,Men,Tops & Tees,2,52.0,28.32,23.68,0.4554
2019-02-01,Women,Dresses,1,50.0,21.2,28.8,0.576
2019-02-01,Women,Intimates,1,23.45,13.04,10.41,0.444
2019-02-01,Men,Active,1,23.23,9.76,13.47,0.58
2019-02-01,Men,Underwear,1,22.0,10.76,11.24,0.511
2019-02-01,Women,Socks & Hosiery,1,14.99,6.04,8.95,0.597
2019-02-01,Women,Accessories,1,7.0,2.66,4.34,0.62
2019-03-01,Men,Suits & Sport Coats,4,543.89,212.78,331.11,0.6088
2019-03-01,Women,Pants & Capris,3,183.32,92.22,91.1,0.4969
2019-03-01,Men,Shorts,3,171.99,87.38,84.61,0.4919
2019-03-01,Women,Blazers & Jackets,1,159.0,66.14,92.86,0.584
2019-03-01,Men,Outerwear & Coats,1,139.95,68.16,71.79,0.513
2019-03-01,Men,Swim,2,104.95,63.35,41.6,0.3964
2019-03-01,Men,Sweaters,1,89.95,44.44,45.51,0.506
2019-03-01,Women,Tops & Tees,3,89.94,50.96,38.98,0.4335
2019-03-01,Men,Underwear,4,86.99,40.08,46.91,0.5392
2019-03-01,Men,Pants,2,84.99,36.09,48.9,0.5754
2019-03-01,Women,Swim,1,68.0,29.99,38.01,0.559
2019-03-01,Men,Jeans,1,65.0,34.06,30.94,0.476
2019-03-01,Women,Fashion Hoodies & Sweatshirts,2,57.06,25.68,31.38,0.5499
2019-03-01,Women,Skirts,2,49.94,21.39,28.55,0.5716
2019-03-01,Women,Maternity,1,48.0,19.73,28.27,0.589
2019-03-01,Women,Outerwear & Coats,1,42.29,20.6,21.69,0.513
2019-03-01,Men,Socks,3,32.0,19.34,12.66,0.3956
2019-03-01,Men,Accessories,1,26.95,10.94,16.01,0.594
2019-03-01,Women,Leggings,1,17.99,10.67,7.32,0.407
2019-03-01,Women,Intimates,1,15.0,8.41,6.59,0.439
2019-03-01,Men,Active,1,13.99,6.32,7.67,0.548
2019-03-01,Women,Jeans,1,12.99,6.78,6.21,0.478
2019-04-01,Men,Outerwear & Coats,3,547.99,243.57,304.42,0.5555
2019-04-01,Men,Jeans,2,360.95,197.4,163.55,0.4531
2019-04-01,Men,Fashion Hoodies & Sweatshirts,4,294.97,154.99,139.98,0.4746
2019-04-01,Women,Blazers & Jackets,4,244.74,90.81,153.93,0.629
2019-04-01,Women,Dresses,4,187.22,84.28,102.94,0.5499
2019-04-01,Women,Intimates,6,183.09,94.91,88.18,0.4816
2019-04-01,Men,Underwear,7,156.77,72.86,83.91,0.5353
